id_nasabah,nama_nasabah,usia,pendapatan,pinjaman,tenor_bulan,skor_kredit,status_kredit,nama_cabang,tanggal_akad,EAD,LGD,segmen
BRI-1001,Budi Santoso,34,12500000,45000000,24,720,LANCAR,KC Jakarta Sudirman,2023-01-15,45000000,0.40,KUR Mikro
BRI-1002,Siti Aminah,42,8000000,20000000,12,650,LANCAR,KC Jakarta Sudirman,2023-02-10,20000000,0.45,Kupedes
BRI-1003,Ahmad Fauzi,29,15000000,85000000,36,540,MACET,KC Surabaya Pemuda,2023-01-20,85000000,0.50,Briguna
BRI-1004,Dewi Lestari,51,25000000,250000000,48,780,LANCAR,KC Surabaya Pemuda,2022-11-05,250000000,0.35,Komersial
BRI-1005,Rian Hidayat,38,9500000,35000000,24,480,MACET,KC Bandung Asia Afrika,2023-03-12,35000000,0.55,KUR Mikro
BRI-1006,Eka Prasetya,45,18000000,120000000,36,,LANCAR,KC Bandung Asia Afrika,2022-10-18,120000000,0.40,Briguna
BRI-1007,Nurul Indah,31,6500000,15000000,12,610,LANCAR,,2023-04-01,15000000,0.45,Kupedes
BRI-1008,Agus Wijaya,58,35000000,600000000,60,710,LANCAR,KC Medan Putri Hijau,2022-08-25,600000000,0.30,Komersial
BRI-1009,Hendra Gunawan,26,11000000,55000000,24,520,MACET,KC Medan Putri Hijau,2023-02-28,55000000,0.50,Briguna
BRI-1010,Maya Sari,39,14000000,75000000,36,670,LANCAR,KC Semarang Pahlawan,2023-01-08,75000000,0.40,KUR Mikro
BRI-1011,Bambang Susilo,48,22000000,180000000,48,590,LANCAR,KC Semarang Pahlawan,2022-12-14,180000000,0.45,Briguna
BRI-1012,Ratna Juwita,33,7500000,22000000,18,460,MACET,KC Makassar Ahmad Yani,2023-03-05,22000000,0.55,Kupedes
BRI-1013,Fajar Pratama,28,13000000,60000000,24,530,MACET,,2023-02-18,60000000,0.50,Briguna
BRI-1014,Sri Wahyuni,55,16500000,90000000,36,740,LANCAR,KC Makassar Ahmad Yani,2022-09-30,90000000,0.35,Briguna
BRI-1015,Dedi Kurniawan,16,5000000,10000000,12,620,LANCAR,KC Jakarta Sudirman,2023-04-10,10000000,0.45,Kupedes
BRI-1016,Wawan Setiawan,82,20000000,150000000,36,700,LANCAR,KC Jakarta Sudirman,2022-07-20,150000000,0.35,Komersial
BRI-1017,Lina Marlina,36,-4000000,30000000,24,580,LANCAR,KC Surabaya Pemuda,2023-01-25,30000000,0.45,KUR Mikro
BRI-1018,Indra Saputra,41,19500000,110000000,36,680,LANCAR,KC Surabaya Pemuda,2022-11-19,110000000,0.40,Briguna
BRI-1019,Yuni Astuti,27,8500000,25000000,18,490,MACET,KC Bandung Asia Afrika,2023-03-22,25000000,0.55,Kupedes
BRI-1020,Teguh Prakoso,50,40000000,750000000,60,760,LANCAR,KC Bandung Asia Afrika,2022-06-15,750000000,0.30,Komersial
BRI-1021,Siti Rahayu,35,10500000,40000000,24,,LANCAR,,2023-02-14,40000000,0.40,KUR Mikro
BRI-1022,Joko Widodo,44,17000000,95000000,36,630,LANCAR,KC Medan Putri Hijau,2022-12-01,95000000,0.40,Briguna
BRI-1023,Mega Utami,30,9000000,30000000,24,510,MACET,KC Medan Putri Hijau,2023-01-11,30000000,0.50,KUR Mikro
BRI-1024,Aris Munandar,47,28000000,320000000,48,730,LANCAR,KC Semarang Pahlawan,2022-10-09,320000000,0.35,Komersial
BRI-1025,Nita Anggraeni,32,12000000,50000000,24,470,MACET,KC Semarang Pahlawan,2023-02-05,50000000,0.55,Briguna
BRI-1026,Rahmat Hidayat,53,21000000,140000000,36,690,LANCAR,KC Makassar Ahmad Yani,2022-08-18,140000000,0.40,Briguna
BRI-1027,Tri Handayani,25,7000000,18000000,12,580,LANCAR,KC Makassar Ahmad Yani,2023-03-15,18000000,0.45,Kupedes
BRI-1028,Anton Wibowo,40,16000000,80000000,36,540,MACET,KC Jakarta Sudirman,2023-01-30,80000000,0.50,Briguna
BRI-1029,Fitriani,37,11500000,45000000,24,660,LANCAR,,2023-02-22,45000000,0.40,KUR Mikro
BRI-1030,Denny Siregar,49,32000000,520000000,60,750,LANCAR,KC Surabaya Pemuda,2022-05-12,520000000,0.30,Komersial
BRI-1030,Denny Siregar Update,49,34000000,540000000,60,760,LANCAR,KC Surabaya Pemuda,2022-05-15,540000000,0.30,Komersial
BRI-1031,Rini Soemarno,43,14500000,70000000,36,440,MACET,KC Surabaya Pemuda,2023-02-17,70000000,0.55,Briguna
BRI-1032,Guntur Bumi,33,13500000,65000000,24,620,LANCAR,KC Bandung Asia Afrika,2023-01-05,65000000,0.40,KUR Mikro
BRI-1033,Kartika Putri,29,8000000,22000000,18,500,LANCAR,KC Bandung Asia Afrika,2023-03-08,22000000,0.45,Kupedes
BRI-1034,Bayu Skak,46,24000000,210000000,48,710,LANCAR,KC Medan Putri Hijau,2022-11-28,210000000,0.35,Briguna
BRI-1035,Intan Permata,31,10000000,38000000,24,,MACET,,2023-02-09,38000000,0.50,KUR Mikro
BRI-1036,Surya Saputra,56,45000000,900000000,60,790,LANCAR,KC Medan Putri Hijau,2022-04-20,900000000,0.25,Komersial
BRI-1037,Ayu Ting,24,6000000,12000000,12,560,LANCAR,KC Semarang Pahlawan,2023-04-05,12000000,0.45,Kupedes
BRI-1038,Lukman Sardi,42,19000000,105000000,36,530,MACET,KC Semarang Pahlawan,2023-01-18,105000000,0.50,Briguna
BRI-1039,Mira Lesmana,38,15500000,88000000,36,670,LANCAR,KC Makassar Ahmad Yani,2022-12-22,88000000,0.40,Briguna
BRI-1040,Doni Salmanan,35,50000000,1200000000,60,420,MACET,KC Makassar Ahmad Yani,2022-07-10,1200000000,0.60,Komersial
,Data Hilang,40,10000000,20000000,24,600,LANCAR,KC Jakarta Sudirman,2023-01-01,20000000,0.40,Kupedes
BRI-1041,Nasabah Tanpa Pinjaman,45,15000000,,36,650,LANCAR,KC Jakarta Sudirman,2023-01-01,,0.40,Briguna
