id_nasabah,nama_nasabah,income,dsr,ltv,dpd,durasi_pinjaman,status_pekerjaan,usia,kode_pos,default
CIF-010001,"Budi Pratama",3197270,0.5,0.4,9,21,Wiraswasta,51,Surabaya,1
CIF-010002,"Siti Nugroho",10381305,0.04,0.36,3,49,Wiraswasta,23,Jakarta,0
CIF-010003,"Agus Permana",9454257,0.2,0.28,4,42,PNS,35,Surabaya,0
CIF-010004,"Dewi Hidayat",8986750,0.17,0.19,9,17,PNS,37,Bandung,0
CIF-010005,"Eko Purnomo",9329341,0.43,0.55,10,28,Wiraswasta,35,Surabaya,0
CIF-010006,"Rini Susanto",10641878,0.41,0.59,9,34,Buruh,27,Lainnya,1
CIF-010007,"Bambang Saputra",6340882,0.14,0.26,9,53,Wiraswasta,22,Surabaya,0
CIF-010008,"Sri Suryono",9441284,0.13,0.36,6,28,PNS,31,Lainnya,0
CIF-010009,"Joko Nasution",7851601,0.11,0.34,9,41,Wiraswasta,47,Jakarta,0
CIF-010010,"Nur Setiawan",4499324,0.4,0.15,5,39,PNS,42,Jakarta,0
CIF-010011,"Hendra Utami",8227433,0.26,0.11,12,53,Buruh,53,Jakarta,1
CIF-010012,"Tri Santoso",500000,0.4,0.45,15,29,PNS,25,Surabaya,0
CIF-010013,"Ahmad Lestari",8481628,0.28,0.42,3,25,Wiraswasta,46,Surabaya,0
CIF-010014,"Ratna Firmansyah",8544060,0.4,0.32,7,24,Wiraswasta,45,Surabaya,0
CIF-010015,"Wawan Wijaya",16505970,0.1,0.56,6,29,PNS,52,Bandung,0
CIF-010016,"Yuni Siregar",7500804,0.39,0.47,5,14,PNS,50,Surabaya,0
CIF-010017,"Rudi Gunawan",8468844,0.24,0.21,13,35,Buruh,45,Surabaya,0
CIF-010018,"Endang Kusuma",12344235,0.58,0.46,14,19,PNS,63,Bandung,1
CIF-010019,"Dedi Wibowo",8074023,0.44,0.43,10,41,Buruh,44,Jakarta,1
CIF-010020,"Lestari Hartono",14528896,0.23,0.49,5,24,Buruh,48,Lainnya,0
CIF-010021,"Surya Pratama",12815941,0.37,0.16,8,45,Lainnya,27,Jakarta,1
CIF-010022,"Mega Nugroho",7908380,0.14,0.58,8,49,Wiraswasta,27,Jakarta,0
CIF-010023,"Bayu Permana",11503083,0.47,0.3,8,43,Wiraswasta,45,Jakarta,0
CIF-010024,"Dian Hidayat",7342467,0.04,0.57,7,33,PNS,49,Bandung,0
CIF-010025,"Fajar Purnomo",9667970,0.09,0.59,10,36,Buruh,41,Bandung,0
CIF-010026,"Maya Susanto",12676990,0.51,0.23,5,55,Buruh,50,Medan,1
CIF-010027,"Reza Saputra",3070513,0.29,0.31,5,45,PNS,37,Surabaya,0
CIF-010028,"Fitri Suryono",2200366,0.53,0.28,6,46,Wiraswasta,62,Medan,0
CIF-010029,"Aris Nasution",19291255,0.05,0.31,15,35,Buruh,51,Surabaya,1
CIF-010030,"Wulan Setiawan",4959187,0.55,0.39,5,23,Wiraswasta,38,Surabaya,0
